,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Establishment_Year
0,9.3,Low Fat,0.016047301,Dairy,249.8092,Medium,Tier 1,Supermarket Type1,1999
1,5.92,Regular,0.019278216,Soft Drinks,48.2692,Medium,Tier 3,Supermarket Type2,2009
2,17.5,Low Fat,0.016760075,Meat,141.618,Medium,Tier 1,Supermarket Type1,1999
3,19.2,Regular,0.0,Fruits and Vegetables,182.095,Medium,Tier 3,Grocery Store,1998
4,8.93,Low Fat,0.0,Household,53.8614,High,Tier 3,Supermarket Type1,1987
5,10.395,Regular,0.0,Baking Goods,51.4008,Medium,Tier 3,Supermarket Type2,2009
6,13.65,Regular,0.012741089,Snack Foods,57.6588,High,Tier 3,Supermarket Type1,1987
7,12.857645184135976,Low Fat,0.127469857,Snack Foods,107.7622,Medium,Tier 3,Supermarket Type3,1985
8,16.2,Regular,0.016687114,Frozen Foods,96.9726,Medium,Tier 2,Supermarket Type1,2002
9,19.2,Regular,0.09444959,Frozen Foods,187.8214,Medium,Tier 2,Supermarket Type1,2007
10,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,Medium,Tier 1,Supermarket Type1,1999
11,18.5,Regular,0.045463773,Dairy,144.1102,Small,Tier 1,Supermarket Type1,1997
12,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,Medium,Tier 1,Supermarket Type1,1999
13,17.6,Regular,0.047257328,Snack Foods,119.6782,Small,Tier 1,Supermarket Type1,1997
14,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,High,Tier 3,Supermarket Type1,1987
15,9.0,Regular,0.069088961,Breakfast,56.3614,Small,Tier 1,Supermarket Type1,1997
16,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,Medium,Tier 3,Supermarket Type2,2009
17,9.0,Regular,0.069196376,Breakfast,54.3614,Medium,Tier 1,Supermarket Type1,1999
18,12.857645184135976,Low Fat,0.034237682,Hard Drinks,113.2834,Medium,Tier 3,Supermarket Type3,1985
19,13.35,Low Fat,0.10249212,Dairy,230.5352,Small,Tier 2,Supermarket Type1,2004
20,18.85,Regular,0.138190277,Snack Foods,250.8724,High,Tier 3,Supermarket Type1,1987
21,12.857645184135976,Regular,0.035399923,Baking Goods,144.5444,Medium,Tier 3,Supermarket Type3,1985
22,14.6,Low Fat,0.025698134,Household,196.5084,Small,Tier 2,Supermarket Type1,2004
23,12.857645184135976,Low Fat,0.057556998,Baking Goods,107.6938,Small,Tier 1,Grocery Store,1985
24,13.85,Regular,0.025896485,Frozen Foods,165.021,Small,Tier 1,Supermarket Type1,1997
25,13.0,Low Fat,0.099887103,Household,45.906,Medium,Tier 2,Supermarket Type1,2007
26,7.645,Regular,0.066693437,Snack Foods,42.3112,Small,Tier 2,Supermarket Type1,2004
27,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,High,Tier 3,Supermarket Type1,1987
28,5.925,Regular,0.161466534,Dairy,45.5086,Medium,Tier 3,Grocery Store,1998
29,12.857645184135976,Regular,0.072221801,Canned,43.6454,Small,Tier 1,Grocery Store,1985
30,19.25,Low Fat,0.170348551,Dairy,55.7956,Medium,Tier 3,Grocery Store,1998
31,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,Medium,Tier 3,Supermarket Type2,2009
32,18.7,Low Fat,0.0,Snack Foods,256.6672,Medium,Tier 3,Supermarket Type2,2009
33,17.85,Low Fat,0.0,Breads,93.1436,Medium,Tier 2,Supermarket Type1,2002
34,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,Small,Tier 1,Supermarket Type1,1997
35,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,Medium,Tier 1,Supermarket Type1,1999
36,12.857645184135976,Regular,0.059511812,Fruits and Vegetables,128.0678,Medium,Tier 3,Supermarket Type3,1985
37,8.85,Regular,0.113123893,Soft Drinks,122.5388,Medium,Tier 3,Supermarket Type2,2009
38,12.857645184135976,Regular,0.123111453,Snack Foods,36.9874,Medium,Tier 3,Supermarket Type3,1985
39,12.857645184135976,Low Fat,0.026480954,Snack Foods,87.6198,Medium,Tier 3,Supermarket Type3,1985
40,13.35,Low Fat,0.102511504,Dairy,230.6352,Small,Tier 1,Supermarket Type1,1997
41,9.8,Low Fat,0.02681843,Meat,126.002,High,Tier 3,Supermarket Type1,1987
42,13.6,Low Fat,0.117818348,Snack Foods,192.9136,Medium,Tier 1,Supermarket Type1,1999
43,21.35,Low Fat,0.069102831,Canned,259.9278,Medium,Tier 3,Supermarket Type2,2009
44,12.15,Regular,0.042277867,Canned,126.5046,High,Tier 3,Supermarket Type1,1987
45,6.42,Low Fat,0.089498926,Dairy,178.1002,Medium,Tier 3,Grocery Store,1998
